Country,Happiness_Score,Score_Change,Temperature_C,Temperature_Current,Temperature_Average,Rank,Rank_GDP,Rank_Social_Support,Rank_Life_Expectancy,Rank_Freedom,Rank_Generosity,Rank_Corruption
Republic of Korea,6.038,,,,,58,69.0,84.0,21.0,3.0,104.0,55.0
Bahrain,6.03,0.718,28.725,28.57,28.88,59,108.0,76.0,14.0,,15.0,30.0
Portugal,6.013,0.912,16.990000000000002,16.92,17.06,60,57.0,51.0,32.0,22.0,40.0,111.0
Colombia,6.004,,25.45,25.58,25.32,61,105.0,55.0,66.0,44.0,73.0,131.0
Ecuador,5.965,0.1,22.04,21.79,22.29,62,84.0,97.0,76.0,51.0,70.0,122.0
Honduras,5.964,0.822,25.47,25.54,25.4,63,128.0,95.0,103.0,90.0,45.0,69.0
Malaysia,5.955,0.195,26.92,27.06,26.78,64,76.0,91.0,45.0,55.0,9.0,11.0
Peru,5.947,0.171,20.55,20.17,20.93,65,89.0,78.0,73.0,69.0,91.0,128.0
Russian Federation,5.945,0.481,,,,66,75.0,65.0,33.0,83.0,101.0,58.0
Cyprus,5.942,,20.025,20.18,19.87,67,55.0,88.0,122.0,10.0,67.0,128.0
China,5.921,0.943,8.465,8.52,8.41,68,85.0,98.0,56.0,26.0,65.0,105.0
Hungary,5.915,1.14,13.315,13.53,13.1,69,50.0,7.0,36.0,48.0,117.0,57.0
Trinidad and Tobago,5.905,,27.365000000000002,27.62,27.11,70,82.0,58.0,82.0,,38.0,133.0
Montenegro,5.877,0.578,11.505,11.71,11.3,71,26.0,39.0,48.0,,61.0,99.0
Croatia,5.87,0.209,13.620000000000001,13.82,13.42,72,23.0,10.0,31.0,31.0,124.0,119.0
Jamaica,5.87,0.496,26.64,26.66,26.62,73,,,,76.0,,
Bolivia,5.868,0.011,21.880000000000003,21.8,21.96,74,96.0,86.0,92.0,98.0,76.0,127.0
Kyrgyzstan,5.858,0.816,3.94,3.54,4.34,75,24.0,14.0,102.0,64.0,5.0,42.0
Dominican Republic,5.846,0.883,25.43,25.6,25.26,76,133.0,46.0,53.0,63.0,36.0,101.0
Mongolia,5.833,0.999,2.09,2.36,1.82,77,54.0,11.0,69.0,80.0,113.0,26.0
Mauritius,5.832,0.355,23.994999999999997,23.88,24.11,78,81.0,62.0,49.0,61.0,71.0,70.0
Libya,5.82,0.48,23.105,23.26,22.95,79,56.0,82.0,81.0,,77.0,77.0
Republic of Moldova,5.819,0.028,12.805,12.92,12.69,80,60.0,72.0,70.0,81.0,51.0,116.0
Greece,5.776,0.341,15.88,16.05,15.71,81,59.0,77.0,39.0,27.0,136.0,132.0
Venezuela,5.683,,26.134999999999998,26.27,26.0,82,97.0,89.0,102.0,74.0,88.0,36.0
Indonesia,5.617,0.269,26.27,26.38,26.16,83,100.0,74.0,75.0,85.0,24.0,1.0
Algeria,5.571,0.149,24.085,24.18,23.99,84,22.0,69.0,74.0,39.0,75.0,123.0
Bulgaria,5.554,1.573,13.145,13.24,13.05,85,40.0,15.0,44.0,71.0,83.0,85.0
North Macedonia,5.503,0.929,12.43,12.6,12.26,86,51.0,54.0,54.0,60.0,119.0,46.0
Armenia,5.494,1.178,8.945,8.87,9.02,87,70.0,93.0,61.0,53.0,60.0,136.0
Hong Kong SAR of China,5.491,,24.16,24.23,24.09,88,21.0,64.0,90.0,,54.0,7.0
Albania,5.411,,14.075,14.29,13.86,89,95.0,111.0,65.0,35.0,34.0,72.0
Tajikistan,5.411,1.031,5.35,5.0,5.7,90,14.0,40.0,112.0,67.0,134.0,12.0
Georgia,5.4,1.213,10.355,10.32,10.39,91,49.0,85.0,55.0,70.0,48.0,141.0
Nepal,5.311,1.155,14.3,14.46,14.14,92,116.0,105.0,110.0,89.0,78.0,76.0
Lao PDR,5.301,0.514,24.990000000000002,25.05,24.93,93,90.0,119.0,97.0,87.0,29.0,43.0
Türkiye,5.262,,,,,94,37.0,73.0,43.0,42.0,140.0,107.0
South Africa,5.213,0.25,18.784999999999997,18.99,18.58,95,127.0,80.0,79.0,114.0,96.0,121.0
Mozambique,5.19,0.219,24.985,25.18,24.79,96,140.0,102.0,133.0,117.0,100.0,97.0
Gabon,5.12,1.006,25.445,25.64,25.25,97,111.0,99.0,64.0,101.0,99.0,110.0
Côte d’Ivoire,5.102,106.0,,,,98,133.0,101.0,112.0,,79.0,40.0
Iran,5.093,0.45,19.395,19.18,19.61,99,78.0,75.0,71.0,54.0,132.0,13.0
Congo,5.03,0.733,24.395000000000003,24.42,24.37,100,139.0,134.0,105.0,105.0,111.0,113.0
Iraq,5.166,0.349,23.955,23.85,24.06,92,114.0,99.0,84.0,82.0,124.0,84.0
Guinea,5.023,1.176,26.595,26.6,26.59,97,132.0,131.0,110.0,116.0,98.0,58.0
Senegal,4.969,1.01,29.54,29.41,29.67,99,104.0,116.0,92.0,115.0,71.0,83.0
Afghanistan,6.796,1.333,14.425,14.24,14.61,19,,,,,,
Ukraine,5.071,0.014,11.030000000000001,11.21,10.85,92,79.0,62.0,77.0,78.0,56.0,4.0
Nigeria,4.981,,27.685,27.65,27.72,95,96.0,90.0,108.0,104.0,79.0,42.0
Cameroon,4.973,0.553,25.075000000000003,25.12,25.03,96,115.0,121.0,112.0,108.0,118.0,87.0
State of Palestine,4.908,0.208,,,,99,101.0,64.0,115.0,,130.0,94.0
Morocco,4.903,0.018,19.17,19.18,19.16,100,102.0,132.0,96.0,72.0,69.0,140.0
Belarus,5.821,0.317,9.08,9.34,8.82,65,,,,,,
Turkmenistan,5.474,,17.82,17.34,18.3,78,,,,,,
Azerbaijan,5.173,0.569,14.075,13.94,14.21,92,,,,,,
Gambia,5.164,,28.994999999999997,28.84,29.15,93,,,,,,
Bangladesh,5.155,0.351,26.1,26.18,26.02,94,108.0,120.0,92.0,68.0,22.0,56.0
Liberia,5.122,0.926,25.915,25.94,25.89,97,,,,,,
Maldives,5.198,,28.275,28.37,28.18,89,,,,,,
Ghana,5.088,,28.314999999999998,28.36,28.27,95,101.0,107.0,93.0,97.0,56.0,26.0
Niger,5.074,0.922,28.265,28.19,28.34,96,,,,,,
Benin,5.045,1.517,28.575,28.57,28.58,99,40.0,116.0,109.0,101.0,73.0,110.0
Pakistan,5.693,0.401,22.02,22.14,21.9,66,86.0,134.0,114.0,110.0,120.0,38.0
Qatar,6.374,,28.905,28.7,29.11,29,,,,,,
Lebanon,5.197,0.266,16.34,16.36,16.32,91,64.0,75.0,70.0,41.0,128.0,65.0
Bhutan,5.082,,10.765,10.81,10.72,95,,,,,,
Jordan,5.161,,20.37,20.3,20.44,90,109.0,81.0,97.0,37.0,86.0,118.0
Somalia,4.982,,27.19,27.28,27.1,98,,,,,,
Suriname,6.269,0.0,27.355,27.6,27.11,40,,,,,,
Tunisia,5.045,0.219,21.41,21.62,21.2,98,63.0,127.0,84.0,55.0,88.0,138.0
Zambia,5.129,0.123,22.175,22.28,22.07,85,122.0,116.0,120.0,126.0,46.0,93.0
Lesotho,4.898,0.0,13.02,13.21,12.83,97,,,,,,
Eswatini,4.867,0.0,,,,101,,,,,,
